timestamp,user,activity,pc
2026-08-01 09:14:00,USER_001,Logon,PC_USER_001
2026-08-01 17:08:00,USER_001,Logoff,PC_USER_001
2026-08-01 08:27:00,USER_005,Logon,PC_USER_005
2026-08-01 19:21:00,USER_005,Logoff,PC_USER_005
2026-08-01 08:05:00,USER_008,Logon,PC_USER_008
2026-08-01 18:54:00,USER_008,Logoff,PC_USER_008
2026-08-01 09:17:00,USER_016,Logon,PC_USER_016
2026-08-01 18:04:00,USER_016,Logoff,PC_USER_016
2026-08-02 10:16:00,USER_020,Logon,PC_USER_020
2026-08-02 19:32:00,USER_020,Logoff,PC_USER_020
2026-08-03 08:15:00,USER_001,Logon,PC_USER_001
2026-08-03 17:56:00,USER_001,Logoff,PC_USER_001
2026-08-03 08:48:00,USER_002,Logon,PC_USER_002
2026-08-03 19:46:00,USER_002,Logoff,PC_USER_002
2026-08-03 08:57:00,USER_003,Logon,PC_USER_003
2026-08-03 17:02:00,USER_003,Logoff,PC_USER_003
2026-08-03 08:46:00,USER_004,Logon,PC_USER_004
2026-08-03 18:21:00,USER_004,Logoff,PC_USER_004
2026-08-03 08:10:00,USER_005,Logon,PC_USER_005
2026-08-03 17:26:00,USER_005,Logoff,PC_USER_005
2026-08-03 10:43:00,USER_006,Logon,PC_USER_006
2026-08-03 17:55:00,USER_006,Logoff,PC_USER_006
2026-08-03 09:59:00,USER_007,Logon,PC_USER_007
2026-08-03 18:48:00,USER_007,Logoff,PC_USER_007
2026-08-03 09:45:00,USER_008,Logon,PC_USER_008
2026-08-03 19:19:00,USER_008,Logoff,PC_USER_008
2026-08-03 09:38:00,USER_009,Logon,PC_USER_009
2026-08-03 18:13:00,USER_009,Logoff,PC_USER_009
2026-08-03 09:35:00,USER_010,Logon,PC_USER_010
2026-08-03 19:09:00,USER_010,Logoff,PC_USER_010
2026-08-03 09:54:00,USER_011,Logon,PC_USER_011
2026-08-03 17:30:00,USER_011,Logoff,PC_USER_011
2026-08-03 09:37:00,USER_012,Logon,PC_USER_012
2026-08-03 17:16:00,USER_012,Logoff,PC_USER_012
2026-08-03 09:45:00,USER_013,Logon,PC_USER_013
2026-08-03 17:27:00,USER_013,Logoff,PC_USER_013
2026-08-03 10:42:00,USER_014,Logon,PC_USER_014
2026-08-03 18:54:00,USER_014,Logoff,PC_USER_014
2026-08-03 10:19:00,USER_015,Logon,PC_USER_015
2026-08-03 19:25:00,USER_015,Logoff,PC_USER_015
2026-08-03 10:50:00,USER_016,Logon,PC_USER_016
2026-08-03 18:57:00,USER_016,Logoff,PC_USER_016
2026-08-03 10:29:00,USER_017,Logon,PC_USER_017
2026-08-03 17:26:00,USER_017,Logoff,PC_USER_017
2026-08-03 09:51:00,USER_018,Logon,PC_USER_018
2026-08-03 17:29:00,USER_018,Logoff,PC_USER_018
2026-08-03 10:08:00,USER_019,Logon,PC_USER_019
2026-08-03 17:09:00,USER_019,Logoff,PC_USER_019
2026-08-03 09:34:00,USER_020,Logon,PC_USER_020
2026-08-03 18:47:00,USER_020,Logoff,PC_USER_020
2026-08-04 09:03:00,USER_001,Logon,PC_USER_001
2026-08-04 17:16:00,USER_001,Logoff,PC_USER_001
2026-08-04 09:16:00,USER_002,Logon,PC_USER_002
2026-08-04 19:49:00,USER_002,Logoff,PC_USER_002
2026-08-04 09:27:00,USER_003,Logon,PC_USER_003
2026-08-04 19:42:00,USER_003,Logoff,PC_USER_003
2026-08-04 08:56:00,USER_004,Logon,PC_USER_004
2026-08-04 18:28:00,USER_004,Logoff,PC_USER_004
2026-08-04 08:46:00,USER_005,Logon,PC_USER_005
2026-08-04 17:26:00,USER_005,Logoff,PC_USER_005
2026-08-04 08:47:00,USER_006,Logon,PC_USER_006
2026-08-04 17:30:00,USER_006,Logoff,PC_USER_006
2026-08-04 08:36:00,USER_007,Logon,PC_USER_007
2026-08-04 17:18:00,USER_007,Logoff,PC_USER_007
2026-08-04 08:13:00,USER_008,Logon,PC_USER_008
2026-08-04 19:16:00,USER_008,Logoff,PC_USER_008
2026-08-04 10:04:00,USER_009,Logon,PC_USER_009
2026-08-04 18:43:00,USER_009,Logoff,PC_USER_009
2026-08-04 10:44:00,USER_010,Logon,PC_USER_010
2026-08-04 18:25:00,USER_010,Logoff,PC_USER_010
2026-08-04 10:28:00,USER_011,Logon,PC_USER_011
2026-08-04 19:58:00,USER_011,Logoff,PC_USER_011
2026-08-04 08:55:00,USER_012,Logon,PC_USER_012
2026-08-04 18:32:00,USER_012,Logoff,PC_USER_012
2026-08-04 08:17:00,USER_013,Logon,PC_USER_013
2026-08-04 17:35:00,USER_013,Logoff,PC_USER_013
2026-08-04 09:41:00,USER_014,Logon,PC_USER_014
2026-08-04 17:53:00,USER_014,Logoff,PC_USER_014
2026-08-04 08:49:00,USER_015,Logon,PC_USER_015
2026-08-04 18:50:00,USER_015,Logoff,PC_USER_015
2026-08-04 09:50:00,USER_016,Logon,PC_USER_016
2026-08-04 19:52:00,USER_016,Logoff,PC_USER_016
2026-08-04 10:25:00,USER_017,Logon,PC_USER_017
2026-08-04 19:41:00,USER_017,Logoff,PC_USER_017
2026-08-04 10:58:00,USER_018,Logon,PC_USER_018
2026-08-04 19:18:00,USER_018,Logoff,PC_USER_018
2026-08-04 08:05:00,USER_019,Logon,PC_USER_019
2026-08-04 17:39:00,USER_019,Logoff,PC_USER_019
2026-08-04 09:22:00,USER_020,Logon,PC_USER_020
2026-08-04 19:36:00,USER_020,Logoff,PC_USER_020
2026-08-05 10:57:00,USER_001,Logon,PC_USER_001
2026-08-05 17:40:00,USER_001,Logoff,PC_USER_001
2026-08-05 08:56:00,USER_002,Logon,PC_USER_002
2026-08-05 19:23:00,USER_002,Logoff,PC_USER_002
2026-08-05 10:52:00,USER_003,Logon,PC_USER_003
