timestamp,user,activity
2026-08-02 13:41:00,USER_020,Connect
2026-08-03 13:42:00,USER_004,Connect
2026-08-03 10:05:00,USER_005,Connect
2026-08-03 13:33:00,USER_020,Connect
2026-08-04 13:40:00,USER_005,Connect
2026-08-04 12:57:00,USER_011,Connect
2026-08-04 12:25:00,USER_016,Connect
2026-08-05 12:24:00,USER_002,Connect
2026-08-05 14:26:00,USER_006,Connect
2026-08-05 09:03:00,USER_010,Connect
2026-08-05 12:50:00,USER_016,Connect
2026-08-06 13:31:00,USER_003,Connect
2026-08-06 12:28:00,USER_013,Connect
2026-08-06 14:02:00,USER_020,Connect
2026-08-07 11:02:00,USER_010,Connect
2026-08-07 13:59:00,USER_011,Connect
2026-08-10 15:29:00,USER_008,Connect
2026-08-10 09:36:00,USER_018,Connect
2026-08-12 10:57:00,USER_001,Connect
2026-08-12 18:10:00,USER_002,Connect
2026-08-12 18:15:00,USER_002,Connect
2026-08-12 18:20:00,USER_002,Connect
2026-08-12 23:38:00,USER_004,Connect
2026-08-12 23:43:00,USER_004,Connect
2026-08-12 23:48:00,USER_004,Connect
2026-08-12 23:53:00,USER_004,Connect
2026-08-12 10:41:00,USER_012,Connect
2026-08-13 10:47:00,USER_001,Connect
2026-08-13 18:10:00,USER_002,Connect
2026-08-13 18:15:00,USER_002,Connect
2026-08-13 18:20:00,USER_002,Connect
2026-08-13 12:13:00,USER_003,Connect
2026-08-13 23:31:00,USER_004,Connect
2026-08-13 23:36:00,USER_004,Connect
2026-08-13 23:41:00,USER_004,Connect
2026-08-13 23:46:00,USER_004,Connect
2026-08-13 12:04:00,USER_013,Connect
2026-08-13 15:13:00,USER_014,Connect
2026-08-14 18:10:00,USER_002,Connect
2026-08-14 18:15:00,USER_002,Connect
2026-08-14 18:20:00,USER_002,Connect
2026-08-14 23:22:00,USER_004,Connect
2026-08-14 23:27:00,USER_004,Connect
2026-08-14 23:32:00,USER_004,Connect
2026-08-14 23:37:00,USER_004,Connect
